Top 1,000 Computer Languages
============================

Rankings explained · Explore all 5,155
 https://pldb.io/explorer.html Explore all 5,155
 https://pldb.io/../pages/the-rankings-algorithm.html Rankings explained

name,rank,appeared,tags,creators,foundationScore,inboundLinksCount,measurements,nameLink
reStructuredText,212,2002,textMarkup,David Goodger,131,131,22,../concepts/restructuredtext.html
Jsonnet,213,2014,dataNotation,Dave Cunningham,0,0,24,../concepts/jsonnet.html
Blender,214,1998,application 3d,Ton Roosendaal,0,0,18,../concepts/blender-app.html
Frege,215,2011,pl,,0,0,29,../concepts/frege.html
Janet,216,2018,pl,Calvin Rose,0,0,30,../concepts/janet.html
VBScript,217,1996,pl,,0,0,31,../concepts/vbscript.html
MLIR,218,2019,ir,Chris Lattner,0,1,25,../concepts/mlir.html
Bicep,219,2020,jsonFormat,Anthony Martin,0,0,26,../concepts/bicep.html
Qt,220,1995,framework,,16,16,16,../concepts/qt.html
Dafny,221,2009,pl,K. Rustan M. Leino,0,0,30,../concepts/dafny.html
carp,222,2016,pl lisp,Erik Svedäng,0,0,25,../concepts/carp.html
Batchfile,223,1985,pl,,0,0,29,../concepts/batch.html
React Native,224,2015,framework,Jordan Walke and Christopher Chedeau,0,0,18,../concepts/react-native.html
D3.js,225,2010,library,Mike Bostock,0,0,18,../concepts/d3.html
QML,226,2009,pl,,7,7,26,../concepts/qml.html
Eve,227,2016,pl,Chris Granger and Rob Attorri and Jamie Brandon and Josh Cole and Corey Montella,0,0,23,../concepts/eve.html
Ninja,228,2012,template,Evan Martin,0,0,20,../concepts/ninja.html
PL/SQL,229,1991,pl,,0,0,33,../concepts/pl-sql.html
Imba,230,2014,pl,,2,2,17,../concepts/imba.html
CouchDB,231,2005,application,,0,0,21,../concepts/couchdb.html
Nginx,232,2004,configFormat,,0,0,24,../concepts/nginx-config.html
Nearley,233,2014,grammarLanguage,Kartik Chandra,0,0,26,../concepts/nearley.html
Terra,234,2012,pl,,0,0,29,../concepts/terra.html
GNU Octave,235,1988,pl,John W. Eaton,0,0,38,../concepts/octave.html
Opa,236,2011,pl,,0,0,41,../concepts/opa.html
Thrift,237,2007,idl,,8,9,20,../concepts/thrift.html
YARA,238,2008,pl,Victor M. Alvarez,0,0,20,../concepts/yara.html
Matplotlib,239,2003,dataVis library,John D. Hunter,0,0,18,../concepts/matplotlib.html
Literate CoffeeScript,240,2013,pl,Jeremy Ashkenas,0,0,19,../concepts/literate-coffeescript.html
Halide,241,2010,pl,,0,0,21,../concepts/halide.html
CSON,242,2011,dataNotation,Benjamin Lupton,11,11,19,../concepts/cson.html
CIR,243,2020,ir,,0,1,20,../concepts/cir.html
Penrose,244,2016,diagramLang,Katherine Ye and Wode Ni and Max Krieger and Dor Ma’Ayan and Jenna Wise and Jonathan Aldrich and Joshua Sunshine and Keenan Crane,0,0,22,../concepts/penrose.html
Agda,245,2007,pl,Ulf Norell and Catarina Coquand,4,5,37,../concepts/agda.html
Apache Arrow,246,2016,binaryDataFormat,Wes McKinney,0,1,16,../concepts/arrow-format.html
RDF,247,1997,dataNotation,,0,11,17,../concepts/rdf.html
Kubernetes,248,2014,application,Craig McLuckie and Joe Beda and Brendan Burns,0,0,17,../concepts/kubernetes.html
Ace Editor,249,2010,editor,Fabian Jakobs,0,2,15,../concepts/ace.html
Nextflow,250,2013,pl,,0,0,24,../concepts/nextflow.html
Bourne shell,251,1977,pl,Stephen Bourne,635,635,17,../concepts/bourne-shell.html
FreeCAD,252,2002,cad 3d application,Jürgen Riegel,0,0,18,../concepts/freecad.html
Futhark,253,2013,pl arrayLang,Troels Henriksen and Cosmin Oancea and Martin Elsman,0,0,29,../concepts/futhark.html
Magit,254,2013,application,Marius Vollmer,0,1,17,../concepts/magit.html
PyTorch,255,2016,library,Ronan Collobert,0,0,17,../concepts/pytorch.html
FLEX,256,1987,grammarLanguage,Vern Paxson,0,0,23,../concepts/flex.html
MIPS architecture,257,1985,isa,,0,0,23,../concepts/mips.html
PL/I,258,1964,pl,,1,2,24,../concepts/pl-i.html
Processing,259,2001,pl,,0,0,32,../concepts/processing.html
SPARQL,260,2008,queryLanguage,,0,0,33,../concepts/sparql.html
Scala.js,261,2013,pl,Martin Odersky,0,0,22,../concepts/scala-js.html
Vyper,262,2016,contractLanguage,Vitalik Buterin,0,0,20,../concepts/vyper.html
Diff,263,1974,unixApplication,,103,103,17,../concepts/diff.html
FlowchartFun,264,2021,diagramLang,Rob Gordon,0,1,19,../concepts/flowchart-fun.html
tornado,265,2009,template,Ben Darnell and Brett Taylor,0,0,17,../concepts/tornado.html
RMarkdown,266,2014,textMarkup,Joseph J. Allaire,0,0,21,../concepts/rmarkdown.html
Carbon,267,2020,pl,Chandler Carruth and Jon Ross-Perkins,0,0,17,../concepts/carbon.html
Svelte,268,2019,pl,Rich Harris,2,2,14,../concepts/svelte.html
Jison,269,2009,pl,Zachary Carter,0,0,21,../concepts/jison.html
MoonBit,270,2022,pl,Hongbo Zhang,1,1,37,../concepts/moonbit.html
unison,271,2015,pl,,0,0,20,../concepts/unison.html
AMPL,272,1985,pl,Robert Fourer and David Gay and Brian Kernighan,0,3,37,../concepts/ampl.html
gravity,273,2017,pl,,0,0,22,../concepts/gravity.html
UML,274,1996,xmlFormat,,0,1,16,../concepts/uml.html
Taichi,275,2019,pl,Yuanming Hu,0,0,17,../concepts/taichi.html
Marko,276,2014,textMarkup,,0,0,18,../concepts/marko.html
Semantic Versioning,277,2011,schema,Tom Preston-Werner,0,0,19,../concepts/semver.html
VBA,278,1993,pl,,0,0,22,../concepts/vba.html
Emacs Lisp,279,1985,pl lisp,Richard Stallman,0,0,35,../concepts/emacs-lisp.html
Sage,280,2005,pl,,0,1,30,../concepts/sagemath.html
Regular Expressions,281,1951,queryLanguage,Stephen Kleene,0,0,17,../concepts/regex.html
DTrace,282,2005,pl,,3,3,26,../concepts/dtrace.html
ink,283,2015,esolang,Joseph Humfrey,0,0,20,../concepts/ink.html
文言文編程語言,284,2019,pl,Lingdong Huang,0,0,17,../concepts/wenyan.html
Mercury,285,1995,pl,Zoltan Somogyi,1,1,33,../concepts/mercury.html
SMTP,286,1982,protocol,Jon Postel,0,2,15,../concepts/smtp.html
Expect,287,1990,pl,,23,23,19,../concepts/expect.html
POV-Ray SDL,288,1991,pl,Chris Cason,0,0,26,../concepts/pov-ray-sdl.html
beef-lang,289,2019,pl,Brian Fiete,0,0,24,../concepts/beef.html
Wolfram Language,290,1988,pl,Stephen Wolfram,0,0,33,../concepts/wolfram.html
Hack,291,2014,pl,Julien Verlaguet and Alok Menghrajani and Drew Paroski,0,0,36,../concepts/hack.html
OpenSCAD,292,2010,pl cad 3d,Marius Kintel and Clifford Wolf,0,1,31,../concepts/openscad.html
gogs-editor,293,2014,editor,Joe Chen,0,0,16,../concepts/gogs-editor.html
Hjson,294,2014,dataNotation,Christian Zangl,0,0,24,../concepts/hjson.html
AWS,295,2006,cloud,,0,0,15,../concepts/aws.html
Emojicode,296,2016,pl,Theo Weidmann,0,0,22,../concepts/emojicode.html
