List of people who created a programming language
=================================================

Here is the list of 1,423 people who created a language(s) in PLDB.

Help us out by adding any missing information with a pull request.
 https://github.com/breck7/pldb/blob/main/creators/creators.scroll

Download as JSON | TSV | CSV
 https://pldb.io/lists/../creators/creators.json
 https://pldb.io/lists/../creators/creators.tsv
 https://pldb.io/lists/../creators/creators.csv

name|_$^links|_$^born|_$^languages|_$^count|_$^topRank
Zhang Chiyuan|_$^|_$^|_$^YASnippet|_$^1|_$^274
Theo Weidmann|_$^|_$^|_$^Emojicode|_$^1|_$^275
Brian Fiete|_$^|_$^|_$^beef-lang|_$^1|_$^276
Mike Cowlishaw|_$^|_$^1948|_$^Rexx - NetRexx|_$^2|_$^279
Scott Logic|_$^|_$^|_$^Simple Binary Encoding|_$^1|_$^280
Martin F. Johansen|_$^|_$^|_$^progsbase|_$^1|_$^281
Roy Fielding|_$^|_$^|_$^REST|_$^1|_$^284
Yuanming Hu|_$^|_$^|_$^Taichi|_$^1|_$^285
Travis Oliphant|_$^ home  |_$^1971|_$^SciPy - NumPy|_$^2|_$^286
Pearu Peterson|_$^|_$^|_$^SciPy|_$^1|_$^286
Eric Jones|_$^|_$^|_$^SciPy|_$^1|_$^286
gap|_$^|_$^|_$^GAP|_$^1|_$^287
Gunther Cox|_$^|_$^|_$^chatterbot|_$^1|_$^288
Marcel van Lohuizen|_$^|_$^|_$^Cue|_$^1|_$^291
Mikhail Yakshin|_$^|_$^|_$^kaitai|_$^1|_$^300
Zach Bruggeman|_$^|_$^|_$^Dogescript|_$^1|_$^301
David Cournapeau|_$^|_$^1980|_$^Scikit-learn|_$^1|_$^302
Adam C. Foltzer|_$^|_$^|_$^Cryptol|_$^1|_$^303
François Chollet|_$^|_$^|_$^Keras|_$^1|_$^305
Jonathan Blow|_$^|_$^|_$^JAI|_$^1|_$^306
Matt T. Proud|_$^|_$^|_$^PROMETHEUS|_$^1|_$^307
Qi Xiao|_$^|_$^|_$^Elvish|_$^1|_$^308
Michael Bayer|_$^|_$^|_$^Sqlalchemy|_$^1|_$^309
Sloum|_$^|_$^|_$^Slope|_$^1|_$^310
James Shubin|_$^|_$^|_$^mgmt|_$^1|_$^312
Jonathan Bennett|_$^|_$^|_$^AutoIt|_$^1|_$^315
Arthur Whitney|_$^|_$^1957|_$^K - Q - A+|_$^3|_$^317
Rich Harris|_$^|_$^|_$^Svelte|_$^1|_$^320
Santosh Rajan|_$^|_$^|_$^wisp - lispyscript - cleanlang|_$^3|_$^321
Irakli Gozalishvili|_$^|_$^|_$^wisp|_$^1|_$^321
LeXofLeviafan|_$^|_$^|_$^wisp|_$^1|_$^321
Chris McCormick|_$^|_$^|_$^wisp - fleck|_$^2|_$^321
Bas van den Berg|_$^|_$^|_$^C2|_$^1|_$^324
Webmaster|_$^|_$^|_$^Golo|_$^1|_$^325
Ole-Johan Dahl|_$^|_$^1931|_$^Simula|_$^1|_$^329
Jon Postel|_$^|_$^1943|_$^SMTP|_$^1|_$^330
Friedrich L. Bauer|_$^|_$^1924|_$^ALGOL 60|_$^1|_$^332
Julien Green|_$^|_$^|_$^ALGOL 60|_$^1|_$^332
Charles Katz|_$^|_$^1938|_$^ALGOL 60|_$^1|_$^332
Peter Naur|_$^|_$^1928|_$^ALGOL 60 - BNF|_$^2|_$^332
Alan Perlis|_$^|_$^1922|_$^ALGOL 60 - IT|_$^2|_$^332
Heinz Rutishauser|_$^|_$^|_$^ALGOL 60 - Superplan|_$^2|_$^332
Klaus Samelson|_$^|_$^|_$^ALGOL 60|_$^1|_$^332
Adriaan van Wijngaarden|_$^|_$^1916|_$^ALGOL 60 - ALGOL 68|_$^2|_$^332
Bernard Vauquois|_$^|_$^|_$^ALGOL 60|_$^1|_$^332
Joseph Henry Wegstein|_$^|_$^|_$^ALGOL 60|_$^1|_$^332
Michael Woodger|_$^|_$^|_$^ALGOL 60|_$^1|_$^332
Adam Lindsay|_$^|_$^|_$^LOLCODE|_$^1|_$^333
TJ Holowaychuk|_$^ |_$^1988|_$^mochajs - Stylus - Luna|_$^3|_$^334
Guillermo Rauch|_$^|_$^|_$^mochajs|_$^1|_$^334
Dave Winer|_$^|_$^1955|_$^SOAP|_$^1|_$^336
Don Box|_$^|_$^1964|_$^SOAP|_$^1|_$^336
Bob Atkinson|_$^|_$^|_$^SOAP|_$^1|_$^336
Mohsen Al-Ghosein|_$^|_$^|_$^SOAP|_$^1|_$^336
Jérôme Jacovella-St-Louis|_$^|_$^|_$^eC|_$^1|_$^337
Rodrigo B. De Oliveira|_$^|_$^|_$^Boo|_$^1|_$^342
Robert Corbett|_$^|_$^|_$^Bison|_$^1|_$^343
Krzysztof Czarnecki|_$^|_$^|_$^Nemerle|_$^1|_$^344
John Skaller|_$^|_$^|_$^Felix|_$^1|_$^345
Juniper Tyree|_$^|_$^|_$^Ron|_$^1|_$^348
Luka Stojanovic|_$^|_$^|_$^CWL|_$^1|_$^349
Zoltan Somogyi|_$^|_$^|_$^Mercury|_$^1|_$^350
Georg Brandl|_$^|_$^|_$^Pygments|_$^1|_$^352
Mahmoud Fayed|_$^|_$^|_$^Ring|_$^1|_$^354
Nathaniel Borenstein|_$^|_$^1957|_$^MIME|_$^1|_$^356
Ned Freed|_$^|_$^1959|_$^MIME|_$^1|_$^356
Charles Oliver Nutter|_$^|_$^|_$^Mirah|_$^1|_$^357
Martin Richards|_$^|_$^1940|_$^BCPL|_$^1|_$^358
Andreas Kling|_$^ home |_$^|_$^Jakt|_$^1|_$^363
Martin Kleppe|_$^|_$^|_$^JSFuck|_$^1|_$^364
Kyle Fuller|_$^|_$^|_$^Stencil|_$^1|_$^365
Knut Sveidqvist|_$^|_$^|_$^mermaid|_$^1|_$^366
Eric Bodden|_$^|_$^|_$^AspectJ|_$^1|_$^369
Kartik K. Agaram|_$^ home self_improvement|_$^|_$^Mu - Wart - SubX|_$^3|_$^373
Jake Fecher|_$^|_$^|_$^Ante|_$^1|_$^376
Monte Ohrt|_$^|_$^|_$^Smarty|_$^1|_$^380
Messju Mohr|_$^|_$^|_$^Smarty|_$^1|_$^380
Uwe Tews|_$^|_$^|_$^Smarty|_$^1|_$^380
Amos Wenger|_$^|_$^|_$^ooc|_$^1|_$^381
Luca Cardelli|_$^|_$^|_$^Modula-3 - Amber|_$^2|_$^382
James Donahue|_$^|_$^|_$^Modula-3|_$^1|_$^382
Lucille Glassman|_$^|_$^|_$^Modula-3|_$^1|_$^382
Mick Jordan|_$^|_$^|_$^Modula-3|_$^1|_$^382
Bill Kalsow|_$^|_$^|_$^Modula-3|_$^1|_$^382
Greg Nelson|_$^|_$^|_$^Modula-3|_$^1|_$^382
Gert Smolka|_$^|_$^|_$^Oz|_$^1|_$^385
Brian McKenna|_$^|_$^|_$^roy|_$^1|_$^387
Carl Sassenrath|_$^|_$^1957|_$^REBOL|_$^1|_$^390
Aaron Janse|_$^|_$^|_$^AsciiDots|_$^1|_$^392
Breck Yunits|_$^ home |_$^1984|_$^Parsers - Scroll - Scroll Notation - Ohayo - TQL - Note - Space - Explorer|_$^8|_$^394
Jean Privat|_$^|_$^|_$^Nit|_$^1|_$^395
Evgeny Skvortsov|_$^|_$^|_$^Logica|_$^1|_$^397
Scott Graham|_$^|_$^|_$^skulpt|_$^1|_$^402
Dmitry Solomennikov|_$^|_$^|_$^Flow9|_$^1|_$^404
Kris Zyp|_$^|_$^|_$^JSON Schema|_$^1|_$^406
Jon Purdy|_$^|_$^|_$^kitten|_$^1|_$^407
Alexandre Plateau|_$^|_$^|_$^ArkScript|_$^1|_$^408
Pierre Pharel|_$^|_$^|_$^ArkScript|_$^1|_$^408
Natendrtfm|_$^|_$^|_$^ArkScript|_$^1|_$^408
Ola Bini|_$^|_$^|_$^Ioke|_$^1|_$^410
Sam Gozman|_$^|_$^|_$^YoptaScript|_$^1|_$^411
Lea Verou|_$^|_$^|_$^Prism - mavo|_$^2|_$^413
Jonas Nicklas|_$^|_$^|_$^capybara|_$^1|_$^417
Kevin Fitzpatrick|_$^|_$^|_$^capybara|_$^1|_$^417
