List of people who created a programming language
=================================================

Here is the list of 1,423 people who created a language(s) in PLDB.

Help us out by adding any missing information with a pull request.
 https://github.com/breck7/pldb/blob/main/creators/creators.scroll

Download as JSON | TSV | CSV
 https://pldb.io/lists/../creators/creators.json
 https://pldb.io/lists/../creators/creators.tsv
 https://pldb.io/lists/../creators/creators.csv

name|_$^links|_$^born|_$^languages|_$^count|_$^topRank
Erik Demaine|_$^ home|_$^|_$^Fold|_$^1|_$^2232
Jason S. Ku|_$^|_$^|_$^Fold|_$^1|_$^2232
Robert J. Lang|_$^|_$^|_$^Fold|_$^1|_$^2232
Laurie Cheers|_$^|_$^|_$^Swym|_$^1|_$^2234
m-schm|_$^|_$^|_$^Topaz|_$^1|_$^2237
Patrick|_$^|_$^|_$^Chika|_$^1|_$^2239
Stephan Bruny|_$^|_$^|_$^corescript|_$^1|_$^2240
Markus Alexej Persson|_$^ home  |_$^1979|_$^Minecraft|_$^1|_$^2242
Adam Hutchings|_$^|_$^|_$^Z-flat|_$^1|_$^2244
Edgar T. Irons|_$^|_$^|_$^IMP|_$^1|_$^2252
Steven M. Caine|_$^|_$^|_$^TTM|_$^1|_$^2256
E. Kent Gordon|_$^|_$^|_$^TTM|_$^1|_$^2256
Scott Ambler|_$^|_$^|_$^DAD|_$^1|_$^2259
Mark Lines|_$^|_$^|_$^DAD|_$^1|_$^2259
Pascal Van Hentenryck|_$^|_$^|_$^Optimization Programming Language|_$^1|_$^2263
Axel Thue|_$^|_$^|_$^Semi-Thue|_$^1|_$^2267
Roy Thomas Fielding|_$^|_$^|_$^URI|_$^1|_$^2268
Larry Masinter|_$^|_$^|_$^URI|_$^1|_$^2268
Mathieu CAROFF|_$^|_$^|_$^Broccoli|_$^1|_$^2269
Matthew Fysh|_$^ |_$^|_$^GETlang|_$^1|_$^2271
Stevan Apter|_$^home |_$^|_$^F - cK - SLACK - XY|_$^4|_$^2280
John Earnest|_$^ home|_$^|_$^Decker - Lil - oK|_$^3|_$^2287
David Broderick|_$^|_$^|_$^kayia|_$^1|_$^2294
David Piepgrass|_$^|_$^|_$^LES - lllpg|_$^2|_$^2296
Leonard Ritter|_$^|_$^|_$^none - scopes|_$^2|_$^2301
David Morgan-Mar|_$^|_$^|_$^Ook|_$^1|_$^2302
Stephen Leach|_$^|_$^|_$^OpenSpice|_$^1|_$^2303
Gerry Rzeppa|_$^|_$^|_$^Plain English|_$^1|_$^2308
Dan Rzeppa|_$^|_$^|_$^Plain English|_$^1|_$^2308
David Stoutamire|_$^|_$^|_$^Sather-K|_$^1|_$^2315
Wolf Zimmermann|_$^|_$^|_$^Sather-K|_$^1|_$^2315
Martin Trapp|_$^|_$^|_$^Sather-K|_$^1|_$^2315
Bernhard Scholz|_$^|_$^|_$^souffle|_$^1|_$^2318
Giandomenico Spezzano|_$^|_$^|_$^Carpet|_$^1|_$^2334
Domenico Talia|_$^|_$^|_$^Carpet|_$^1|_$^2334
Michael Homer|_$^|_$^|_$^Interleaved Notation|_$^1|_$^2335
Martijn Koster|_$^|_$^|_$^Robots.txt|_$^1|_$^2340
Tom Rothamel|_$^|_$^|_$^Ruri|_$^1|_$^2341
Mary Fernández|_$^|_$^|_$^StruQL|_$^1|_$^2342
Dan Suciu|_$^|_$^|_$^StruQL - UnQL|_$^2|_$^2342
and Igor Tatarinov|_$^|_$^|_$^StruQL|_$^1|_$^2342
Brian Chin|_$^|_$^|_$^Yedalog|_$^1|_$^2344
Daniel von Dincklage|_$^|_$^|_$^Yedalog|_$^1|_$^2344
Vuk Ercegovac|_$^|_$^|_$^Yedalog|_$^1|_$^2344
Peter Hawkins|_$^|_$^|_$^Yedalog|_$^1|_$^2344
Franz Och|_$^|_$^|_$^Yedalog|_$^1|_$^2344
Chris Olston|_$^|_$^|_$^Yedalog|_$^1|_$^2344
Fernando Pereira|_$^|_$^|_$^Yedalog|_$^1|_$^2344
Arkady D.Zakrevskij|_$^|_$^|_$^LYaPAS|_$^1|_$^2362
Byron Ruth|_$^|_$^|_$^JSON Graph Spec|_$^1|_$^2370
Darren Duncan|_$^|_$^|_$^Muldis|_$^1|_$^2371
David Jobet|_$^|_$^|_$^Nosica|_$^1|_$^2375
Josh Weinstein|_$^|_$^|_$^RoyalScript|_$^1|_$^2376
Saptak|_$^|_$^|_$^Swallow|_$^1|_$^2379
Compaq|_$^|_$^|_$^USB|_$^1|_$^2380
Digital Equipment Corporation|_$^|_$^|_$^USB|_$^1|_$^2380
IBM|_$^|_$^|_$^USB|_$^1|_$^2380
Intel|_$^|_$^|_$^USB|_$^1|_$^2380
NEC|_$^|_$^|_$^USB|_$^1|_$^2380
Nortel|_$^|_$^|_$^USB|_$^1|_$^2380
David Olofson|_$^|_$^|_$^Extensible Embeddable Language|_$^1|_$^2382
John Barnes|_$^|_$^|_$^RTL/2|_$^1|_$^2390
Danilo Lekovic|_$^|_$^|_$^Iode|_$^1|_$^2393
David C. Keenan|_$^|_$^|_$^mockingbird-notation|_$^1|_$^2401
Huw Pritchard|_$^|_$^|_$^HuwCode|_$^1|_$^2405
Ian Fitchet|_$^|_$^|_$^Idio|_$^1|_$^2406
Steve Ruiz|_$^ home |_$^1987|_$^tldraw|_$^1|_$^2420
Justin Hu|_$^|_$^|_$^stacklang - t-lang|_$^2|_$^2426
Moshe M. Zloof|_$^|_$^|_$^SBA|_$^1|_$^2447
S. Peter de Jong|_$^|_$^|_$^SBA|_$^1|_$^2447
Stephen Richard Bourne|_$^|_$^|_$^sh|_$^1|_$^2449
Feliks Kluhiak|_$^|_$^|_$^Spill|_$^1|_$^2450
Mirodawa Milkowska|_$^|_$^|_$^Spill|_$^1|_$^2450
Kye W. Shi|_$^|_$^|_$^Slick|_$^1|_$^2454
John Judnich|_$^|_$^|_$^tuplemarkup|_$^1|_$^2456
Mikail Khan|_$^|_$^|_$^RustScript|_$^1|_$^2468
CoconutMacaroon|_$^|_$^|_$^Broccoli|_$^1|_$^2476
Anthony Bonkoski|_$^ home|_$^1990|_$^Forsp|_$^1|_$^2477
HE Shi-Jun|_$^|_$^|_$^Jedi|_$^1|_$^2478
Katrina Grace|_$^|_$^|_$^SQHTML|_$^1|_$^2480
Adam Dullage|_$^|_$^|_$^Workfl|_$^1|_$^2481
Robert Swierczek|_$^|_$^|_$^swizzle|_$^1|_$^2486
Andrew S. Grimshaw|_$^|_$^|_$^Mentat|_$^1|_$^2488
Jane W.S. Liu|_$^|_$^|_$^Mentat|_$^1|_$^2488
Richard Evans|_$^|_$^|_$^praxis-lang|_$^1|_$^2489
Dilan Nair|_$^|_$^|_$^GamerLanguage|_$^1|_$^2492
Nick Noble|_$^ home |_$^|_$^Slashdown|_$^1|_$^2493
Pouya Kary|_$^|_$^|_$^Timpani|_$^1|_$^2495
Nicolas Ojeda Bar|_$^|_$^|_$^mlpolyr|_$^1|_$^2498
Andrey Zholos|_$^ home|_$^|_$^kuc - Yewslip|_$^2|_$^2504
Daniel Fedorin|_$^ home|_$^1998|_$^Pegasus|_$^1|_$^2505
Jakob Hain|_$^|_$^|_$^Descript|_$^1|_$^2518
Daniel Smith|_$^|_$^|_$^D++|_$^1|_$^2520
Alex Loh|_$^|_$^|_$^enso|_$^1|_$^2524
Daniel Temkin|_$^|_$^|_$^Entropy|_$^1|_$^2525
Dan Swirsky|_$^|_$^|_$^Hilltop|_$^1|_$^2534
Christian Neumanns|_$^|_$^|_$^PML|_$^1|_$^2557
Makoto Murata|_$^|_$^|_$^relax|_$^1|_$^2562
Taylor Troesh|_$^|_$^|_$^Scrapscript|_$^1|_$^2565
Evan Wallace|_$^|_$^|_$^skew|_$^1|_$^2570
Herman Venter|_$^|_$^|_$^slim-pl|_$^1|_$^2571
Eunice Jun|_$^|_$^|_$^Tea|_$^1|_$^2577
Maureen Daum|_$^|_$^|_$^Tea|_$^1|_$^2577
Jared Roesch|_$^|_$^|_$^Tea|_$^1|_$^2577
Sarah E. Chasins|_$^|_$^|_$^Tea|_$^1|_$^2577
Emery D. Berger|_$^|_$^|_$^Tea|_$^1|_$^2577
Rene Just|_$^|_$^|_$^Tea|_$^1|_$^2577
Katharina Reinecke|_$^|_$^|_$^Tea|_$^1|_$^2577
Kaz Kylheku|_$^|_$^|_$^txr|_$^1|_$^2578
Russ Cox|_$^|_$^|_$^Xoc - Zeta|_$^2|_$^2581
Tom Bergan†|_$^|_$^|_$^Xoc - Zeta|_$^2|_$^2581
Austin T. Clements|_$^|_$^|_$^Xoc - Zeta|_$^2|_$^2581
Frans Kaashoek|_$^|_$^|_$^Xoc - Zeta|_$^2|_$^2581
Eddie Kohler|_$^|_$^|_$^Xoc - Zeta|_$^2|_$^2581
Yuriy Zamyatin|_$^|_$^|_$^ForthScript|_$^1|_$^2587
Mado Nanika|_$^|_$^|_$^Cotton|_$^1|_$^2590
Holger H. Hoos|_$^|_$^|_$^GUIDO music notation|_$^1|_$^2593
Keith Hamel|_$^|_$^|_$^GUIDO music notation|_$^1|_$^2593
Paul Tenczar|_$^|_$^|_$^TUTOR|_$^1|_$^2604
Richard Blomme|_$^|_$^|_$^TUTOR|_$^1|_$^2604
Phil Karn|_$^|_$^1956|_$^AMPRNet|_$^1|_$^2606
Mark Sibly|_$^|_$^|_$^MonkeyX|_$^1|_$^2614
Dennis Allison|_$^|_$^|_$^Tiny BASIC|_$^1|_$^2630
Jeffrey G. Bonar|_$^|_$^|_$^BridgeTalk|_$^1|_$^2637
Blaise W. Liffick|_$^|_$^|_$^BridgeTalk|_$^1|_$^2637
Robbert van Dalen|_$^|_$^|_$^Enchilada|_$^1|_$^2642
Nikhil Swamy|_$^|_$^|_$^EverParse3D|_$^1|_$^2644
Tahina Ramananandro|_$^|_$^|_$^EverParse3D|_$^1|_$^2644
Aseem Rastogi|_$^|_$^|_$^EverParse3D|_$^1|_$^2644
Irina Spiridonova|_$^|_$^|_$^EverParse3D|_$^1|_$^2644
Haobin Ni|_$^|_$^|_$^EverParse3D|_$^1|_$^2644
Dmitry Malloy|_$^|_$^|_$^EverParse3D|_$^1|_$^2644
Juan Vazquez|_$^|_$^|_$^EverParse3D|_$^1|_$^2644
Michael Tang|_$^|_$^|_$^EverParse3D|_$^1|_$^2644
Omar Cardona|_$^|_$^|_$^EverParse3D|_$^1|_$^2644
Arti Gupta|_$^|_$^|_$^EverParse3D|_$^1|_$^2644
Ioi K. Lam|_$^|_$^|_$^JACL|_$^1|_$^2647
Brian Smith|_$^|_$^|_$^JACL|_$^1|_$^2647
Bill McKeeman|_$^|_$^|_$^mckeeman-form - C flat|_$^2|_$^2651
Ronen Barzel|_$^|_$^|_$^Patchwork|_$^1|_$^2656
David Salesin|_$^|_$^|_$^Patchwork|_$^1|_$^2656
Bart van der Werf|_$^|_$^|_$^Pluk|_$^1|_$^2659
Steven R Newcomb|_$^|_$^|_$^SMDL|_$^1|_$^2661
Royi Ronen|_$^|_$^|_$^SoQL|_$^1|_$^2662
Oded Shmueli|_$^|_$^|_$^SoQL|_$^1|_$^2662
Stephen Chang|_$^|_$^|_$^turnstile|_$^1|_$^2666
Alex Knauth|_$^|_$^|_$^turnstile|_$^1|_$^2666
Ben Greenman|_$^|_$^|_$^turnstile|_$^1|_$^2666
Milo Turner|_$^|_$^|_$^turnstile|_$^1|_$^2666
Michael Ballantyne|_$^|_$^|_$^turnstile|_$^1|_$^2666
Maurice Machado|_$^ |_$^|_$^CoffeeKup|_$^1|_$^2673
Bill Gates|_$^|_$^|_$^Color BASIC|_$^1|_$^2680
Egil Möller|_$^|_$^|_$^I-expressions|_$^1|_$^2683
G. Stewart von Itzstein|_$^|_$^|_$^Join Java|_$^1|_$^2686
Erel Uziel|_$^|_$^|_$^Basic4ppc|_$^1|_$^2694
Sander Mertens|_$^|_$^|_$^y-lang|_$^1|_$^2698
Fogus|_$^|_$^|_$^Broccoli|_$^1|_$^2702
Renzhi Li aka. Belleve Invis|_$^|_$^|_$^Moescript|_$^1|_$^2707
Onchere Bironga|_$^|_$^|_$^whack|_$^1|_$^2711
Kevin Diggins|_$^|_$^|_$^BCX|_$^1|_$^2714
Robert Wishlaw|_$^|_$^|_$^BCX|_$^1|_$^2714
Carl Schierig|_$^|_$^|_$^penguor|_$^1|_$^2732
Dan Motzenbecker|_$^|_$^|_$^taxa|_$^1|_$^2733
jussehoo|_$^|_$^|_$^MeanscriptCLI|_$^1|_$^2743
Mike Redko|_$^|_$^|_$^microl|_$^1|_$^2744
Harold L. Marzan|_$^|_$^|_$^H++|_$^1|_$^2746
Owez|_$^|_$^|_$^Jingo|_$^1|_$^2747
Spencer Comin|_$^|_$^|_$^Fern|_$^1|_$^2752
Robert M. McClure|_$^|_$^|_$^TMG|_$^1|_$^2763
William Rutherford|_$^|_$^|_$^lambcalc|_$^1|_$^2768
Stian Veum Møllersen|_$^|_$^|_$^Ait|_$^1|_$^2774
Jochen L. Leidner|_$^|_$^|_$^Leazy|_$^1|_$^2775
Ahmed Khaled|_$^|_$^|_$^mai|_$^1|_$^2776
David A. Wagner|_$^|_$^|_$^Joe-E|_$^1|_$^2783
Weird Constructor|_$^|_$^|_$^WLambda|_$^1|_$^2785
Chris Pearson|_$^ home |_$^|_$^Mesh Spreadsheet|_$^1|_$^2787
Ciprian Niculescu|_$^|_$^|_$^Aime|_$^1|_$^2790
Konstantin Knizhnik|_$^|_$^|_$^c-talk|_$^1|_$^2800
Todd Davies|_$^|_$^|_$^Executable JSON|_$^1|_$^2819
Dmitriy Myshkin|_$^|_$^|_$^Flare|_$^1|_$^2821
Eliezer Yudkowsky|_$^|_$^|_$^Flare|_$^1|_$^2821
Mike Li|_$^|_$^|_$^Flare|_$^1|_$^2821
Michael Baj|_$^|_$^|_$^Flare|_$^1|_$^2821
Richard Walker|_$^|_$^|_$^Flare|_$^1|_$^2821
Peter Schaffter|_$^home|_$^|_$^Groff Mom|_$^1|_$^2829
Luis Cuende|_$^|_$^|_$^Linked Markdown|_$^1|_$^2835
Tim Carstens|_$^|_$^|_$^potential|_$^1|_$^2859
John E. Davis|_$^|_$^|_$^s-lang|_$^1|_$^2866
Kathleen Booth|_$^|_$^|_$^Arc Assembly - Birkbeck Assembly|_$^2|_$^2883
Bob Brodt|_$^|_$^|_$^bawk|_$^1|_$^2884
Christian Hochberger|_$^|_$^|_$^CDL++ - CDL|_$^2|_$^2886
Paul Lansky|_$^|_$^|_$^CMIX|_$^1|_$^2889
Antoni Kreczmar|_$^|_$^|_$^LOGLAN|_$^1|_$^2928
Andrzej Salwicki|_$^|_$^|_$^LOGLAN|_$^1|_$^2928
Serge Abiteboul|_$^|_$^|_$^Lorel|_$^1|_$^2931
Dallan Quass|_$^|_$^|_$^Lorel|_$^1|_$^2931
Jason McHugh|_$^|_$^|_$^Lorel|_$^1|_$^2931
Jennifer Widom|_$^|_$^|_$^Lorel|_$^1|_$^2931
Janet L. Wiener|_$^|_$^|_$^Lorel|_$^1|_$^2931
Els Laenens|_$^|_$^|_$^OOPS+ - OOPS|_$^2|_$^2941
Dirk Vermeir|_$^|_$^|_$^OOPS+ - OOPS|_$^2|_$^2941
Helcio Bezerra de Mello|_$^|_$^|_$^PopAsm|_$^1|_$^2949
P.A.C. Bailes|_$^|_$^|_$^Post-X|_$^1|_$^2950
L.H. Reeker|_$^|_$^|_$^Post-X|_$^1|_$^2950
Lee Spector|_$^|_$^|_$^Push|_$^1|_$^2955
Alan Robinson|_$^|_$^|_$^Push|_$^1|_$^2955
Scott Warren|_$^|_$^|_$^Rosetta SMALLTALK|_$^1|_$^2968
Niels Houbak|_$^|_$^|_$^SIL|_$^1|_$^2976
Stephen Travis Pope|_$^|_$^|_$^SMOKE|_$^1|_$^2979
Fred Swartz|_$^|_$^|_$^Snostorm|_$^1|_$^2981
Jonathan Moore Liles|_$^|_$^|_$^STOICAL|_$^1|_$^2985
Robert Lee|_$^|_$^|_$^Nuprl|_$^1|_$^2994
KyleLin921021|_$^|_$^|_$^Yakou Lang|_$^1|_$^3012
Carlos Christensen|_$^|_$^|_$^AMBIT|_$^1|_$^3020
Rickard|_$^|_$^|_$^RicScript|_$^1|_$^3023
Brooke Boering|_$^|_$^|_$^CEEMAC|_$^1|_$^3035
Tarik Kerroum|_$^|_$^|_$^Smalltalk MT|_$^1|_$^3043
Ryan Cumming|_$^|_$^|_$^arret|_$^1|_$^3046
Claude Roux|_$^|_$^|_$^tamgu|_$^1|_$^3048
Charles A. Grant|_$^|_$^|_$^NorthStar BASIC|_$^1|_$^3062
Mark Greenberg|_$^|_$^|_$^NorthStar BASIC|_$^1|_$^3062
Dave Bayer|_$^|_$^1955|_$^Bayer Expressions|_$^1|_$^3073
Erann Gat|_$^|_$^|_$^FlowNet|_$^1|_$^3208
Mike Ciholas|_$^|_$^|_$^FlowNet|_$^1|_$^3208
Alexei Iliasov|_$^|_$^|_$^Lemick|_$^1|_$^3272
Douglas Frank Palmer|_$^|_$^|_$^NUA-Prolog|_$^1|_$^3313
Patrick Rogers|_$^|_$^|_$^OpenAda|_$^1|_$^3324
Andy Wellings|_$^|_$^|_$^OpenAda|_$^1|_$^3324
Vesa Karvonen|_$^|_$^|_$^order|_$^1|_$^3325
Malcolm Phillip Atkinson|_$^|_$^|_$^PIXIN|_$^1|_$^3341
Bruno Blanchet|_$^|_$^|_$^ProVerif|_$^1|_$^3354
David Cuny|_$^|_$^|_$^Py|_$^1|_$^3356
Henry G. Dietz|_$^|_$^|_$^Refined C|_$^1|_$^3369
Peter C. Lockemann|_$^|_$^|_$^REL|_$^1|_$^3371
Frederick B. Thompson|_$^|_$^|_$^REL|_$^1|_$^3371
Nate Derbinsky|_$^|_$^|_$^Soar Markup Language|_$^1|_$^3408
Rico Angell|_$^|_$^|_$^Soar Markup Language|_$^1|_$^3408
Bernard Smith|_$^|_$^|_$^SPECOL|_$^1|_$^3411
Barbara H. Liskov|_$^|_$^|_$^SPIL|_$^1|_$^3413
Leroy A. Smith|_$^|_$^|_$^SPIL|_$^1|_$^3413
Richard Hipp|_$^|_$^|_$^UnQL|_$^1|_$^3424
Damien Katz|_$^|_$^|_$^UnQL|_$^1|_$^3424
Haruo Hosoya|_$^|_$^|_$^xduce|_$^1|_$^3426
Benjamin C. Pierce|_$^|_$^|_$^xduce|_$^1|_$^3426
Sturm Mabie|_$^|_$^|_$^xs|_$^1|_$^3427
Rowan Crowe|_$^|_$^|_$^Moonrock Basic Compiler|_$^1|_$^3455
Pierre Rossouw|_$^|_$^|_$^wats|_$^1|_$^3465
Mark Norman Francis|_$^|_$^|_$^TextFrame|_$^1|_$^3471
Adam Treat|_$^|_$^|_$^Zot|_$^1|_$^3489
Yanis Zafirópulos|_$^|_$^|_$^Arturo|_$^1|_$^3497
Robert Kiesling|_$^|_$^|_$^ctalk|_$^1|_$^3509
Mathias Sirthias|_$^|_$^|_$^pegdown - parboiled - parboiled2|_$^3|_$^3540
Charles Childers|_$^|_$^|_$^retroforth|_$^1|_$^3550
Alexander Okhotin|_$^|_$^|_$^whalecalf|_$^1|_$^3562
tiatomee|_$^|_$^|_$^cytosol|_$^1|_$^3617
Wayne Davison|_$^|_$^|_$^Unified Diff|_$^1|_$^3620
Frank Pfenning|_$^|_$^|_$^Twelf|_$^1|_$^3635
Carsten Schürmann|_$^|_$^|_$^Twelf|_$^1|_$^3635
Glenn Culler|_$^|_$^|_$^Culler-Fried System|_$^1|_$^3821
Burton Fried|_$^|_$^|_$^Culler-Fried System|_$^1|_$^3821
Mariana Marasoiu|_$^|_$^|_$^cuscus|_$^1|_$^3823
Detlef Nauck|_$^|_$^|_$^cuscus|_$^1|_$^3823
Alan F. Blackwell|_$^|_$^|_$^cuscus|_$^1|_$^3823
David Wheeler|_$^|_$^|_$^EDSAC Initial Orders|_$^1|_$^3861
Maurice Wilkes|_$^|_$^|_$^EDSAC Initial Orders|_$^1|_$^3861
Stanley Gill|_$^|_$^|_$^EDSAC Initial Orders|_$^1|_$^3861
Leon Arnott|_$^home|_$^|_$^Harlowe|_$^1|_$^3927
Jeanine Adkisson|_$^|_$^|_$^magritte|_$^1|_$^4025
Mike Welch|_$^|_$^|_$^rbasic|_$^1|_$^4199
William H. Duquette|_$^|_$^|_$^Snit|_$^1|_$^4261
John D. Leidel|_$^|_$^|_$^StoneCutter|_$^1|_$^4277
David Donofrio|_$^|_$^|_$^StoneCutter|_$^1|_$^4277
Frank Conlon|_$^|_$^|_$^StoneCutter|_$^1|_$^4277
Peter Buneman|_$^|_$^|_$^UnQL|_$^1|_$^4286
Mary Fernandez|_$^|_$^|_$^UnQL|_$^1|_$^4286
Mikhail Auguston|_$^|_$^|_$^V|_$^1|_$^4287
Alfredo Delgado|_$^|_$^|_$^V|_$^1|_$^4287
Tim Sweeney|_$^|_$^|_$^Verse|_$^1|_$^4290
Lennart Augustsson|_$^|_$^|_$^Verse|_$^1|_$^4290
Koen Claess|_$^|_$^|_$^Verse|_$^1|_$^4290
Garry Shannon|_$^|_$^|_$^Very Tiny Language|_$^1|_$^4292
Frank McCoy|_$^|_$^|_$^Very Tiny Language|_$^1|_$^4292
Hiroshi Ishikawa|_$^|_$^|_$^XQL|_$^1|_$^4297
Kazumi Kubota|_$^|_$^|_$^XQL|_$^1|_$^4297
Yasuhiko Kanemasa|_$^|_$^|_$^XQL|_$^1|_$^4297
Kathryn E. Gray|_$^|_$^|_$^xt3d|_$^1|_$^4298
Paul T. Graunke|_$^|_$^|_$^xt3d|_$^1|_$^4298
Anmol Gautam|_$^|_$^|_$^truck|_$^1|_$^4308
Alex Couch|_$^|_$^|_$^beagle|_$^1|_$^4346
adam-mcdaniel|_$^|_$^|_$^tsar|_$^1|_$^4347
Douglas Hofstadter|_$^|_$^|_$^Typographical Number Theory|_$^1|_$^4352
Jan Blackquill|_$^|_$^|_$^Tawa|_$^1|_$^4370
Hextanium|_$^|_$^|_$^draconian|_$^1|_$^4380
Olav Junker Kjær|_$^|_$^|_$^Mascara|_$^1|_$^4411
Kragen Javier Sitaker|_$^|_$^|_$^paperalgo|_$^1|_$^4414
Omar Ahmad|_$^|_$^|_$^ra|_$^1|_$^4417
Rickard Lindberg|_$^|_$^|_$^rlmeta|_$^1|_$^4418
Kateryna Lohvynivna Yushchenko|_$^|_$^|_$^Address|_$^1|_$^4441
Bram Cohen|_$^ home  |_$^1975|_$^BitTorrent|_$^1|_$^4447
Paolo Martini|_$^|_$^|_$^Parsec|_$^1|_$^4468
Antoine Latter|_$^|_$^|_$^Parsec|_$^1|_$^4468
Satoshi Nakamoto|_$^|_$^|_$^Bitcoin|_$^1|_$^4489
Vitalik Buterin|_$^ |_$^1994|_$^Ethereum|_$^1|_$^4493
sugi-lang|_$^|_$^|_$^Sugi|_$^1|_$^4508
Giovanni Blu Mitolo|_$^|_$^|_$^BIPLAN|_$^1|_$^4510
ilmu|_$^|_$^|_$^Datalisp|_$^1|_$^4513
Christopher Lewis|_$^|_$^|_$^Vortex|_$^1|_$^4543
Paul Walsh|_$^|_$^|_$^Data Package|_$^1|_$^4619
Rufus Pollock|_$^|_$^|_$^Data Package|_$^1|_$^4619
Gael de La Croix Vaubois|_$^|_$^|_$^N|_$^1|_$^4655
Catherine Moulinoux|_$^|_$^|_$^N|_$^1|_$^4655
BenoIt Derot|_$^|_$^|_$^N|_$^1|_$^4655
Wayne Citrin|_$^|_$^|_$^VEX|_$^1|_$^4709
Richard Hall|_$^|_$^|_$^VEX|_$^1|_$^4709
Benjamin Zorn|_$^|_$^|_$^VEX|_$^1|_$^4709
Jonathan Robie|_$^|_$^|_$^XQL|_$^1|_$^4719
Trevor Blackwell|_$^|_$^|_$^yoga|_$^1|_$^4721
Tony Locke|_$^|_$^|_$^zish|_$^1|_$^4724
Illia Polosukhin|_$^|_$^|_$^NEAR|_$^1|_$^4757
Alexander Skidanov|_$^|_$^|_$^NEAR|_$^1|_$^4757
Gottlob Frege|_$^|_$^|_$^concept-script|_$^1|_$^4789
Linus Torvalds|_$^|_$^|_$^gitignore|_$^1|_$^4802
Stefano Ceri|_$^|_$^|_$^XML-GL|_$^1|_$^4916
Sara Comai|_$^|_$^|_$^XML-GL|_$^1|_$^4916
Ernesto Damiani|_$^|_$^|_$^XML-GL|_$^1|_$^4916
Piero Fraternali|_$^|_$^|_$^XML-GL|_$^1|_$^4916
Stefano Paraboschi|_$^|_$^|_$^XML-GL|_$^1|_$^4916
Letizia Tanca|_$^|_$^|_$^XML-GL|_$^1|_$^4916
