List of File Extensions
=======================

Here is the list of 1,761 unique file extensions across 808 languages in PLDB.

name|_$^nameLink|_$^extensions|_$^numberOfExtensions
Delphi|_$^../concepts/delphi.html|_$^pas dpr|_$^2
RobotFramework|_$^../concepts/robotframework.html|_$^robot resource|_$^2
Stata|_$^../concepts/stata.html|_$^ado DO do doh ihlp mata matah sthlp|_$^8
F*|_$^../concepts/fstar.html|_$^fst fsti|_$^2
SaltStack|_$^../concepts/saltstack.html|_$^sls|_$^1
V|_$^../concepts/v.html|_$^v|_$^1
Standard ML|_$^../concepts/standard-ml.html|_$^sml fun sig ml|_$^4
ABAP|_$^../concepts/abap.html|_$^abap ABAP|_$^2
Z shell|_$^../concepts/z-shell.html|_$^.ZSH zsh|_$^2
Dhall|_$^../concepts/dhall.html|_$^dhall|_$^1
ActionScript|_$^../concepts/actionscript.html|_$^as|_$^1
Sass|_$^../concepts/sass.html|_$^sass scss|_$^2
EJS|_$^../concepts/ejs.html|_$^ejs ect ejst jst|_$^4
Verilog|_$^../concepts/verilog.html|_$^v veo|_$^2
PostCSS|_$^../concepts/postcss.html|_$^pcss postcss|_$^2
Pony|_$^../concepts/pony.html|_$^pony|_$^1
Fennel|_$^../concepts/fennel.html|_$^fnl|_$^1
starlark|_$^../concepts/starlark.html|_$^bazel bzl star|_$^3
Ballerina|_$^../concepts/ballerina.html|_$^bal|_$^1
BASIC|_$^../concepts/basic.html|_$^bas|_$^1
FLUX|_$^../concepts/flux.html|_$^fx flux|_$^2
Puppet|_$^../concepts/puppet.html|_$^pp|_$^1
AutoHotkey|_$^../concepts/autohotkey.html|_$^ahk ahkl|_$^2
Hy|_$^../concepts/hy.html|_$^hy|_$^1
Squirrel|_$^../concepts/squirrel.html|_$^nut|_$^1
PostScript|_$^../concepts/postscript.html|_$^ps eps epsi pfa|_$^4
Factor|_$^../concepts/factor.html|_$^factor|_$^1
LabVIEW G|_$^../concepts/labview.html|_$^lvproj lvclass lvlib|_$^3
Less|_$^../concepts/less.html|_$^less|_$^1
Manim|_$^../concepts/manim.html|_$^.py|_$^1
Cython|_$^../concepts/cython.html|_$^pxd pxi pyx|_$^3
Wren|_$^../concepts/wren.html|_$^wren|_$^1
ColdFusion|_$^../concepts/coldfusion.html|_$^cfm cfml|_$^2
Vue|_$^../concepts/vuejs.html|_$^vue|_$^1
XQuery|_$^../concepts/xquery.html|_$^xq xql xqm xqy xquery|_$^5
Common Lisp|_$^../concepts/common-lisp.html|_$^lisp lsp l cl fasl asd ny podsl sexp|_$^9
mustache|_$^../concepts/mustache.html|_$^mustache|_$^1
Eiffel|_$^../concepts/eiffel.html|_$^e|_$^1
Smali|_$^../concepts/smali.html|_$^smali|_$^1
MUMPS|_$^../concepts/mumps.html|_$^mps m mumps|_$^3
Korn shell|_$^../concepts/korn-shell.html|_$^ksh|_$^1
RAML|_$^../concepts/raml.html|_$^raml|_$^1
PEG.js|_$^../concepts/pegjs.html|_$^pegjs|_$^1
